timestamp,Price/TH (Under 19 TH/s),Price/TH (19-25 TH/s),Price/TH (25-38 TH/s),Price/TH (38-68 TH/s),Price/TH (Above 68 TH/s),BTC Price (USD)
2025-01-19 00:00:00+00:00,17.49,12.68,3.37,,,101092.0
2025-01-18 00:00:00+00:00,17.49,12.68,3.37,,,104477.78
2025-01-17 00:00:00+00:00,17.49,12.68,3.37,,,104126.01
2025-01-16 00:00:00+00:00,17.49,12.68,3.37,,,100060.26
2025-01-15 00:00:00+00:00,17.49,12.68,3.37,,,100362.0
2025-01-14 00:00:00+00:00,17.49,12.68,3.37,,,96588.01
2025-01-13 00:00:00+00:00,17.49,12.68,3.37,,,94589.6
2025-01-12 00:00:00+00:00,17.49,12.72,3.37,,,94540.0
2025-01-11 00:00:00+00:00,17.49,12.72,3.37,,,94563.24
2025-01-10 00:00:00+00:00,17.49,12.72,3.37,,,94703.46
2025-01-09 00:00:00+00:00,17.49,12.72,3.37,,,92440.63
2025-01-08 00:00:00+00:00,17.49,12.72,3.37,,,95060.6
2025-01-07 00:00:00+00:00,17.49,12.72,3.37,,,96934.04
2025-01-06 00:00:00+00:00,17.49,12.72,3.37,,,102182.85
2025-01-05 00:00:00+00:00,17.2,12.93,3.39,,,98374.92
2025-01-04 00:00:00+00:00,17.2,12.93,3.39,,,98265.52
2025-01-03 00:00:00+00:00,17.2,12.93,3.39,,,98114.9
2025-01-02 00:00:00+00:00,17.2,12.93,3.39,,,96967.01
2025-01-01 00:00:00+00:00,17.2,12.93,3.39,,,94654.3
2024-12-31 00:00:00+00:00,17.2,12.93,3.39,,,93636.38
2024-12-30 00:00:00+00:00,17.2,12.93,3.39,,,92884.84
2024-12-29 00:00:00+00:00,17.16,13.15,3.57,,,93786.8
2024-12-28 00:00:00+00:00,17.16,13.15,3.57,,,95374.12
2024-12-27 00:00:00+00:00,17.16,13.15,3.57,,,94302.01
2024-12-26 00:00:00+00:00,17.16,13.15,3.57,,,95838.58
2024-12-25 00:00:00+00:00,17.16,13.15,3.57,,,99524.44
2024-12-24 00:00:00+00:00,17.16,13.15,3.57,,,98738.98
2024-12-23 00:00:00+00:00,17.16,13.15,3.57,,,94817.24
